	loss	accuracy	val_loss	val_accuracy
0	0.05070621147751808	0.9870312213897705	0.01699182018637657	0.9935937523841858
1	0.03143701329827309	0.9918359518051147	0.01695428043603897	0.9951562285423279
2	0.025581037625670433	0.9934765696525574	0.01683156006038189	0.9950000047683716
3	0.023763997480273247	0.9938281178474426	0.015458468347787857	0.9956250190734863
4	0.023256465792655945	0.9937890768051147	0.010532926768064499	0.9973437786102295
5	0.02861819788813591	0.9938671588897705	0.007727250922471285	0.9971874952316284
6	0.023653186857700348	0.9942578077316284	0.007299451623111963	0.9976562261581421
7	0.02107674442231655	0.9951171875	0.008386414498090744	0.9975000023841858
8	0.019537897780537605	0.9948046803474426	0.008334211073815823	0.9976562261581421
9	0.02120816521346569	0.9948437213897705	0.006739929784089327	0.9976562261581421
10	0.02112879604101181	0.9946093559265137	0.00915873609483242	0.996874988079071
11	0.02440231293439865	0.9947656393051147	0.0071768611669540405	0.9971874952316284
12	0.022653959691524506	0.9944140911102295	0.011702238582074642	0.9967187643051147
13	0.021946407854557037	0.9952734112739563	0.0056830402463674545	0.9981250166893005
14	0.02062218263745308	0.9944531321525574	0.006694486830383539	0.9973437786102295
15	0.01997162401676178	0.9948828220367432	0.005509431939572096	0.9976562261581421
16	0.02169853448867798	0.9949609637260437	0.017789045348763466	0.9934375286102295
17	0.020372120663523674	0.9956640601158142	0.007572236470878124	0.9975000023841858
18	0.02158072218298912	0.994921863079071	0.006370875984430313	0.9981250166893005
19	0.01646111160516739	0.9959765672683716	0.008628803305327892	0.9973437786102295
20	0.017044372856616974	0.9958593845367432	0.010629046708345413	0.9979687333106995
