	loss	accuracy	val_loss	val_accuracy
0	0.6089320182800293	0.7257229089736938	0.5217570066452026	0.7868523597717285
1	0.5468782186508179	0.7727728486061096	0.5114712119102478	0.8121448755264282
2	0.5406359434127808	0.792885422706604	0.598972737789154	0.7135376334190369
3	0.5298783183097839	0.7958939075469971	0.5990453362464905	0.7293593287467957
4	0.5301669836044312	0.8035266399383545	0.4262315034866333	0.8635097742080688
5	0.5275080800056458	0.8032202124595642	0.5274319648742676	0.789080798625946
6	0.5176644921302795	0.8120229244232178	0.469196617603302	0.8342061042785645
7	0.5215672254562378	0.8058387637138367	0.4806990325450897	0.82194983959198
8	0.5148321390151978	0.8105186820030212	0.5109550952911377	0.8031197786331177
9	0.5185407400131226	0.805253803730011	0.5281409621238708	0.784735381603241
