	loss	accuracy	val_loss	val_accuracy
0	0.6977765560150146	0.49526435136795044	0.7104829549789429	0.156768798828125
1	0.6943510174751282	0.49657362699508667	0.6909300684928894	0.843231201171875
2	0.6939206719398499	0.48938658833503723	0.7030858397483826	0.156768798828125
3	0.6936471462249756	0.46930190920829773	0.6958174705505371	0.156768798828125
4	0.6951543092727661	0.4432559013366699	0.6899030208587646	0.843231201171875
5	0.6935808658599854	0.47685107588768005	0.6968536376953125	0.156768798828125
6	0.6935837268829346	0.49133655428886414	0.6969790458679199	0.156768798828125
7	0.6933833956718445	0.4373502731323242	0.6914329528808594	0.843231201171875
8	0.6932531595230103	0.49064013361930847	0.6967268586158752	0.156768798828125
9	0.6933782696723938	0.39450666308403015	0.6960226893424988	0.156768798828125
