	loss	accuracy	val_loss	val_accuracy
0	0.04609890282154083	0.9900781512260437	0.011069477535784245	0.9973437786102295
1	0.02659490518271923	0.9937109351158142	0.004943971522152424	0.9981250166893005
2	0.01982206664979458	0.9947656393051147	0.005376087501645088	0.9987499713897705
3	0.024129074066877365	0.9948046803474426	0.004914593417197466	0.9982812404632568
4	0.02446916326880455	0.9947265386581421	0.003763224696740508	0.9984375238418579
5	0.018814314156770706	0.995312511920929	0.007370544597506523	0.9981250166893005
6	0.02352689579129219	0.9946484565734863	0.003885754616931081	0.9989062547683716
7	0.020855676382780075	0.9955078363418579	0.0041414485312998295	0.9984375238418579
8	0.019582252949476242	0.9947265386581421	0.009629916399717331	0.9978125095367432
9	0.021609680727124214	0.9948046803474426	0.004704403690993786	0.9981250166893005
